"id","frame","x [nm]","y [nm]","z [nm]","sigma1 [nm]","sigma2 [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]","detections"
1.0,1.0,628.258381826938,14981.202007433047,-29.671298582486656,185.1906774513217,151.41684858828583,695.6718402142957,29.426471451297033,6.244559067333341,15999.08481614162,15.525530488470197,1.0
3.0,1.0,877.2290707185082,5406.248388581655,166.15764134009368,177.6680107687629,182.87489789605132,2000.7229387532454,32.585671862733854,8.775427837489014,23196.264846120648,9.16176712061145,1.0
6.0,1.0,1177.8091700795194,4305.461044915897,126.81322722124848,178.3717318750686,175.1051766451287,2390.1713285049623,31.939703615416953,9.971435184853206,26342.132675511977,8.316024797621889,1.0
9.0,1.0,1848.3322874994287,6967.844801296215,-943.5061901618337,353.322482280075,243.34304137768154,3344.699480931206,31.086295215243567,9.225732457213732,22296.432108549012,13.892979453793203,1.0
10.0,1.0,1723.4603567180866,43940.11970863632,-1202.4623451964794,440.8073443108818,340.88909422901105,4928.889250953549,43.355735562699856,11.94918796411775,29187.582856750607,19.866518571302365,1.0
12.0,1.0,1675.9090046376741,14380.82973666026,-9.87960040640949,183.97333383261116,153.77598333632096,442.19095861970624,30.364778417318508,6.078453451769501,14855.459765399833,22.581790039364925,1.0
13.0,1.0,1759.4166333521948,43944.19301991432,591.3011354979917,195.9692971713642,313.3209332744911,2074.7625520805736,52.93321756309943,13.232715473389787,35159.97115826224,21.095724735109258,1.0
14.0,1.0,2087.066871689925,17029.513114019595,-720.3715215170492,292.0510714252196,184.6147060786234,1302.676027971634,33.436299921991505,9.450151256280916,25012.048669666307,21.631389083155227,1.0
15.0,1.0,1896.1718726259157,6968.212107062013,113.67033520169217,178.69730342963527,172.67212214467108,1406.9690814349917,40.745005716722986,12.764189964062165,40893.78993746362,15.536915015673577,1.0
16.0,1.0,1985.118394090735,11505.608299046866,335.6420249211658,179.27961586768086,224.6767998669278,1032.3679881728258,33.99643794586929,7.672741753661935,19099.104539557342,17.437998491602148,1.0
19.0,1.0,2193.545731382371,42403.58981833415,-206.8976521880942,200.67201140292786,138.51181161266007,745.8984380659984,41.31118462812894,7.387831809476972,16342.82327759811,16.313533703486296,1.0
21.0,1.0,2208.984912952592,17059.63780307636,-720.3736582157488,292.0515956052578,184.6151562116164,1268.9992846873624,33.91385317083014,9.083438550217538,23827.995083274614,21.447077077857838,1.0
22.0,1.0,2489.633177795994,48363.109036463095,592.4724972258645,196.08523047901238,313.7979003445671,2229.570259966077,38.32187523069996,8.311719220282782,18731.97965995291,13.704421850606519,1.0
23.0,1.0,2516.157930981392,40808.48392864241,-26.503203385359672,184.9889060782542,151.78208152378892,651.1476847574057,38.19319301603842,10.604094953095782,31141.333265096597,24.758968517516617,1.0
24.0,1.0,2648.9460982872715,15622.090521237098,43.362927499130436,181.20861702214623,161.03782410032315,854.4834375362096,32.07437918447208,6.139343703421025,13808.504369489852,13.407415504960376,1.0
25.0,1.0,2970.9726162187535,902.7557639802042,766.7915357198888,217.35122572671162,391.9806452074975,3043.1753241313427,34.27996840028291,22.537493254762936,89272.55080960084,32.5091285204381,1.0
26.0,1.0,2982.80226879769,920.441000619092,833.0298355122551,227.52224983238358,425.439940690367,3741.8540599285184,30.02051936204632,17.08753842740032,55149.127158287716,23.303154672249143,1.0
29.0,1.0,3242.570109195162,46722.618296160785,260.3429100477712,177.6332388686662,204.43530758320415,1235.0620830303797,49.544235752350275,15.924007410668056,50892.11081689647,24.707283618456916,1.0
30.0,1.0,3384.0629206383387,24912.722191761586,-495.90074760578176,243.5934239221365,149.18813381968604,609.2091193848213,28.318552378405705,5.98919631930126,15284.032884607881,21.011454511874106,1.0
31.0,1.0,3324.4722806326367,40020.26895886413,452.86022297184496,184.80290573672366,261.49930613500237,3139.7034699687993,43.23779790961704,9.85438119621314,21877.782089796467,9.427054775767179,1.0
32.0,1.0,3361.8750743381074,41637.23082241697,264.26103344626193,177.68221710561974,205.42271441377585,1176.590648589867,42.5758929138735,9.805315377089501,26271.574911780473,17.184049123171942,1.0
34.0,1.0,3470.78560485702,42860.00261652125,283.58030859218303,177.98260889968583,210.39705359304483,547.3752207379931,40.188610849768764,7.592018617437606,18395.440651261248,28.571471479162916,1.0
35.0,1.0,3738.932480402979,9689.101128197912,54.40112784959485,180.72851896812762,162.71038239565536,640.5428441935328,34.99130845672688,7.457941822162205,18251.337223251998,19.69112147424492,1.0
