Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
10559	9701.8	22524.5	13	0	171.6	678	1	675	0	0	1
10614	9709.4	22512.6	10.8	0	167.3	682	1	889	0	0	1
10850	9632.1	23041.2	22.1	0	150.2	700	1	295	0	0	1
14649	9718.6	22404.4	18.3	0	159.8	995	1	309	0	0	1
14658	9775.1	22415.8	21.2	0	151.8	996	1	252	0	0	1
19407	9343.6	22215.6	18.2	0	190	1359	1	736	0	0	1
22300	9615.1	22522.4	24.2	0	194.7	1583	1	389	0	0	1
25146	9708.1	22554.5	18.9	0	161.8	1813	1	377	0	0	1
27467	9675.5	22542.5	21.5	0	178.7	1996	1	382	0	0	1
34414	9696.1	22487.1	14.4	0	175.6	2441	1	597	0	0	1
36468	9710.3	22578	18.4	0	192	2530	1	477	0	0	1
38358	9737.3	22411.8	13.9	0	165.1	2622	1	693	0	0	1
39353	9401.3	22189.7	15	0	168.3	2673	1	683	0	0	1
41153	9692.7	22536.5	12.3	0	161	2762	1	722	0	0	1
41430	9388.7	22181.6	7.8	0	174.5	2775	1	1798	0	0	1
42115	9694.3	22510	24.5	0	170.2	2810	1	321	0	0	1
42128	9746	22542.8	31.3	0	179.7	2811	1	286	0	0	1
44548	9371.2	22179.8	14	0	167.7	2934	1	523	0	0	1
48727	9746.6	22395	28	0	109.3	3163	1	94	0	0	1
56640	9576.1	22875.5	19.7	0	187.7	3617	1	699	0	0	1
59051	9374.4	22180.9	16.8	0	172.4	3760	1	472	0	0	1
59836	9342.7	22259.9	15.6	0	155.1	3809	1	474	0	0	1
61877	9595.2	22887.9	15.1	0	194.6	3939	1	843	0	0	1
64698	9500.1	23005.9	21.5	0	150.2	4125	1	223	0	0	1
67269	9369.7	22178.8	17.5	0	177	4290	1	525	0	0	1
67589	9685.8	22517.8	16.9	0	178.7	4311	1	516	0	0	1
72861	9698.1	22511.4	14.9	0	163.6	4650	1	441	0	0	1
74521	9354.6	22257.6	29.5	0	129.8	4759	1	176	0	0	1
79115	9385.7	22199.1	13.4	0	154.5	5073	1	464	0	0	1
83213	9732.1	22499	19.3	0	195.4	5357	1	431	0	0	1
83742	9101.9	22521.9	31.3	0	164.4	5391	1	230	0	0	1
84004	9110.1	22603.9	27.1	0	144.7	5409	1	209	0	0	1
84079	9101.4	22610.9	24.8	0	136.6	5414	1	201	0	0	1
84111	9040	22605.7	29.6	0	195.3	5416	1	362	0	0	1
84195	9112.3	22597.8	27	0	119	5422	1	119	0	0	1
84422	9095.2	22629	19.6	0	132.2	5437	1	236	0	0	1
84451	9104.2	22602.8	22.8	0	135.8	5439	1	204	0	0	1
84487	9086.9	22625.4	17.8	0	130.4	5441	1	220	0	0	1
84509	9073.5	22609.3	24.6	0	132.3	5443	1	154	0	0	1
84608	9107.5	22591.6	23.6	0	149.6	5449	1	218	0	0	1
84634	9084.3	22565.3	27.2	0	133.1	5451	1	162	0	0	1
84646	9106.6	22646.2	23.5	0	124.3	5452	1	141	0	0	1
84726	9153.7	22475.7	10	0	196.7	5457	1	1263	0	0	1
84827	9060.4	22591.9	28.7	0	149.1	5464	1	192	0	0	1
84839	9033.5	22527.6	27.9	0	164.9	5465	1	196	0	0	1
85193	9097.7	22603.2	27.1	0	148.6	5487	1	192	0	0	1
85454	9763.5	22326.1	28.1	0	158	5505	1	207	0	0	1
85895	9084.4	22617.5	30.5	0	156.2	5533	1	166	0	0	1
85961	9077.5	22595.4	22.5	0	154.9	5537	1	249	0	0	1
85999	9043.4	22580.5	32.1	0	160.4	5540	1	197	0	0	1
86177	9089.7	22612	27.2	0	165.1	5550	1	238	0	0	1
86307	9089.5	22562.2	26.6	0	131.5	5559	1	163	0	0	1
86407	9103.4	22605.8	30.9	0	135.9	5566	1	127	0	0	1
86457	9043.9	22604.8	27.1	0	152	5569	1	192	0	0	1
86607	9074.8	22611.4	26.5	0	114	5579	1	128	0	0	1
88019	9734.1	22421.1	15	0	162.1	5674	1	417	0	0	1
88034	9745.9	22454.2	13	0	161.8	5675	1	468	0	0	1
89821	9920.1	22678.6	27.5	0	147.3	5798	1	194	0	0	1
93825	9457.1	22181.6	20.9	0	177.2	6037	1	388	0	0	1
96216	9716.9	22488.3	26	0	157	6186	1	276	0	0	1
99116	9723	22408.5	15.6	0	175.5	6355	1	583	0	0	1
103953	9662.8	22500.1	15.2	0	181.1	6655	1	551	0	0	1
104812	9644.1	22278.9	28.1	0	186.2	6711	1	324	0	0	1
108711	9388.5	22183.1	13.5	0	180.5	6963	1	704	0	0	1
109528	9685	22573.3	18.2	0	183.9	7017	1	392	0	0	1
111719	9668.6	22529	11.9	0	151.8	7157	1	537	0	0	1
111732	9694.5	22552.8	13.6	0	170.1	7158	1	608	0	0	1
111751	9701.4	22524.6	16.9	0	159.5	7159	1	483	0	0	1
112223	9733.8	22433.4	15.9	0	144.2	7188	1	342	0	0	1
115526	9401.3	22204.8	26	0	166	7406	1	256	0	0	1
116389	9389.2	22181.6	12.5	0	190.7	7462	1	1097	0	0	1
119143	9327.4	22218.3	21.9	0	114.6	7642	1	142	0	0	1
122334	9707.9	22520.9	12.7	0	176.6	7853	1	703	0	0	1
122355	9698.5	22493.8	13.7	0	171.2	7854	1	539	0	0	1
122734	9628.1	22228.8	22.4	0	170.1	7877	1	251	0	0	1
133986	9313.2	22271.6	23	0	150.4	8617	1	209	0	0	1
135595	9643	22244.1	21.6	0	173.2	8720	1	281	0	0	1
138746	9381.6	22266.2	29.8	0	146.7	8932	1	182	0	0	1
142561	9575	22891.9	18	0	189.3	9192	1	448	0	0	1
146709	9403.9	22193.5	15.1	0	190.2	9470	1	610	0	0	1
147095	9721.6	23073.7	31	0	152.8	9498	1	162	0	0	1
147139	9739.1	23029	20.6	0	114.1	9502	1	152	0	0	1
147292	9730.9	23048.9	23.9	0	168.9	9513	1	286	0	0	1
148903	9720.4	23026.7	23.2	0	127.1	9624	1	184	0	0	1
149004	9709.3	23037.7	28.8	0	133.1	9631	1	140	0	0	1
149011	9730.5	23006.3	32.1	0	119.9	9632	1	117	0	0	1
149442	9758.5	22975.2	24.7	0	183.1	9662	1	269	0	0	1
150683	9722.3	22949.8	18.6	0	180.4	9744	1	378	0	0	1
150866	9714	23034.8	20.6	0	115.8	9757	1	137	0	0	1
150889	9733.8	23045.1	22.9	0	114.2	9758	1	134	0	0	1
150925	9710.1	23016.8	31.3	0	119	9761	1	111	0	0	1
150938	9728.1	23001.8	29.1	0	125.1	9762	1	127	0	0	1
151053	9717.2	22998.1	37.6	0	102.6	9770	1	77	0	0	1
151122	9730.4	23062.5	24	0	110.5	9774	1	98	0	0	1
151143	9703.4	23044.4	22.6	0	129.7	9776	1	154	0	0	1
151160	9756.8	23013.9	30.2	0	131.8	9777	1	117	0	0	1
151176	9691.8	23066.7	27.7	0	112.2	9779	1	97	0	0	1
151205	9707.5	23011.3	23.3	0	113.6	9782	1	108	0	0	1
151231	9699.3	23040.9	28.1	0	114.4	9784	1	98	0	0	1
151252	9710.3	22978.7	25.7	0	109.1	9785	1	85	0	0	1
151300	9744.4	23015.2	20.3	0	108	9789	1	131	0	0	1
151448	9718.6	23020	17.9	0	115.3	9799	1	176	0	0	1
151506	9724.7	23069.8	23.5	0	111	9802	1	113	0	0	1
151533	9831.9	22418.6	27.2	0	179.8	9804	1	250	0	0	1
151586	9722.2	23025.5	25.2	0	105.4	9807	1	88	0	0	1
151597	9674.9	23009.1	22.6	0	112.8	9808	1	123	0	0	1
151654	9712	23051.3	26.9	0	108	9812	1	87	0	0	1
151793	9741.7	23066.2	25.5	0	105.5	9820	1	83	0	0	1
151924	9745.4	23049.8	27.1	0	118.4	9830	1	100	0	0	1
151974	9685.5	23026.9	31.9	0	135.2	9833	1	125	0	0	1
152212	9723	23045.1	24.2	0	100.7	9850	1	80	0	0	1
152252	9736.3	23017.4	33.9	0	110.5	9853	1	99	0	0	1
152306	9739.6	23035.2	25.3	0	104	9857	1	80	0	0	1
152354	9724.1	23041.2	27.4	0	118.5	9861	1	118	0	0	1
152546	9732.9	23046.6	30.4	0	100.9	9874	1	75	0	0	1
152629	9722.1	23001.8	23	0	108.7	9881	1	99	0	0	1
152712	9731	23017.9	18.4	0	104.6	9886	1	117	0	0	1
152728	9702.2	23025.7	25.9	0	116.6	9888	1	102	0	0	1
152761	9724.1	23027.4	26.6	0	104.8	9890	1	103	0	0	1
152786	9703.6	23035.9	30.6	0	114.5	9892	1	103	0	0	1
152948	9707.1	23015.1	24.3	0	111.3	9903	1	127	0	0	1
152973	9725.8	23065.6	23.7	0	123.8	9904	1	136	0	0	1
153294	9729.2	23027.8	34.4	0	104.1	9926	1	81	0	0	1
153369	9724.9	23041.9	30.1	0	102.8	9932	1	77	0	0	1
153385	9690.2	23048.1	22.3	0	103.1	9933	1	96	0	0	1
154877	9694.1	23040.6	26.5	0	106.5	10035	1	84	0	0	1
155044	9731.8	23000	33	0	105.4	10047	1	73	0	0	1
155218	9689.8	23000.1	26.3	0	111.4	10059	1	91	0	0	1
155443	9678.3	22985.4	28	0	125.6	10072	1	125	0	0	1
160022	9557.9	22487.9	23.8	0	188.3	10378	1	342	0	0	1
161761	9670.7	22548.4	19.9	0	184.8	10497	1	375	0	0	1
162428	9439.1	22568.6	36.6	0	131.4	10545	1	124	0	0	1
165854	9713.7	22601.1	23.2	0	179.3	10777	1	302	0	0	1
166566	9739.8	23040.5	21.1	0	112	10826	1	130	0	0	1
166579	9713.4	23062.1	28.1	0	107.8	10827	1	82	0	0	1
169711	9679.4	22538	21.8	0	151.2	11043	1	186	0	0	1
169730	9699.1	22507.4	10.1	0	173.4	11044	1	856	0	0	1
170470	9688	23054.6	19.4	0	166.9	11096	1	266	0	0	1
171616	9715.5	22572.1	22.5	0	188.2	11177	1	359	0	0	1
173143	9729.1	22433.2	8.6	0	146.9	11291	1	897	0	0	1
175951	9742.8	22414.7	16.8	0	150.3	11496	1	325	0	0	1
177581	9720.5	22526.7	17.7	0	184.3	11618	1	547	0	0	1
189544	9331.2	22251.2	5.8	0	148.2	1358	3	2214	0	1	1
191115	9376.8	22193.3	6.9	0	165.8	1690	3	1840	0	1	1
191634	9702.1	22519.5	5.6	0	166	1811	3	2970	0	1	1
194497	9710.1	22515.3	6.1	0	168.3	2409	2	2131	0	0	1
194721	9707.5	22518.7	5.1	0	163.3	2442	3	4639	0	0	1
195775	9698	22521.6	7.6	0	163.9	2598	3	1728	0	1	1
196483	9702.5	22581.3	14.4	0	165.9	2708	2	551	0	0	1
200705	9383.7	22177.7	5.3	0	173.1	3427	3	4209	0	0	1
204425	9510	23038	4.4	0	147.1	4123	2	3255	0	0	1
209705	9731.4	22425.8	5.6	0	162.6	5209	3	2209	0	1	1
210408	9707.3	22526.9	8.6	0	184	5358	3	1682	0	0	1
210538	9156.7	22456.1	6.2	0	195	5386	3	2686	0	1	1
210815	9077.8	22608.3	9.9	0	144.2	5448	2	505	0	1	1
210861	9145.6	22460.6	6.5	0	191.3	5458	3	2623	0	0	1
211016	9110.9	22610.8	12.8	0	156.9	5491	2	460	0	0	1
211143	9092	22607.6	11.2	0	150.8	5517	3	557	0	0	1
211266	9086.1	22616.8	12.3	0	144.9	5538	2	404	0	0	1
211351	9091.4	22639.4	15.1	0	135.3	5557	2	308	0	2	1
211404	9089.9	22603.1	14.1	0	133.9	5567	2	344	0	2	1
211697	9721.3	22575.7	4.7	0	180.4	5632	3	3233	0	0	1
213655	9712.8	22587.7	4.7	0	186.7	6010	2	2586	0	0	1
215449	9734	22430.8	4.5	0	170.5	6353	2	3237	0	0	1
218837	9705	22583.1	5.2	0	186.2	7018	5	6385	0	0	1
231726	9734	23020.1	12.3	0	109.1	9736	2	250	0	0	1
231841	9704.6	23053.7	15	0	114.5	9763	2	233	0	0	1
231847	9702.4	23031	12.5	0	101.3	9765	2	202	0	1	1
231849	9720.4	23042.5	7.5	0	130.6	9766	5	839	0	2	1
231936	9711.3	23013.5	12.9	0	118.2	9786	2	236	0	0	1
231942	9710.1	23039.9	12	0	116.2	9788	2	248	0	2	1
232123	9735.9	23018.8	13.3	0	117.7	9829	2	238	0	2	1
232367	9715.2	23021.7	13.4	0	114.6	9883	2	249	0	0	1
232476	9738.7	23028.5	12.3	0	115.6	9905	3	290	0	2	1
232492	9716.3	23018	11.1	0	105.6	9908	3	261	0	2	1
232535	9727.6	23020.5	12.1	0	108.5	9917	3	290	0	0	1
233195	9707.9	23014.5	22.4	0	125.1	10063	1	108	0	8	1
235980	9728	23041.5	13.1	0	113.4	10673	2	249	0	0	1
238003	9727	22432.2	7.7	0	162.6	11115	3	1129	0	0	1
240640	9340.2	22262.9	8.5	0	148.6	11722	2	682	0	0	1
Orientation 	1
ROI width 	1005
ROI height 	1005
ROI x1 	8920
ROI x2 	9925
ROI y1 	22180
ROI y2 	23185
1
