Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
892	16431	22173.8	18.8	0	195.9	38	1	870	0	0	1
1305	16250.4	22387	12.4	0	188	58	1	1374	0	0	1
1446	16336.1	21995	20.4	0	191.6	65	1	715	0	0	1
1521	16312.5	22048.5	18.3	0	180	68	1	811	0	0	1
1531	16313.7	22091	19	0	170	69	1	590	0	0	1
2299	16618.3	21721.8	20.1	0	188.2	113	1	747	0	0	1
2331	16619.4	21671.3	12.9	0	165.6	114	1	1164	0	0	1
2391	16615.7	21670.7	14.7	0	167.1	118	1	901	0	0	1
2401	16673.7	21658.9	24.9	0	181.2	119	1	560	0	0	1
3611	16278.6	22128.6	27	0	179.3	189	1	365	0	0	1
4667	16282.6	21982.5	10.1	0	175	251	1	1048	0	0	1
4735	16253.5	21934.3	19.7	0	146.2	255	1	294	0	0	1
4750	16292.6	21976.1	18.4	0	159.2	256	1	362	0	0	1
4952	16446.9	22134.9	22.6	0	175.5	270	1	313	0	0	1
4969	16460.6	22195.4	17.2	0	182.8	271	1	531	0	0	1
5489	16251.8	22212.2	11.2	0	167	305	1	922	0	0	1
5622	16227.1	22124	15	0	164.8	315	1	546	0	0	1
6071	16265.4	22142.8	29.6	0	147.4	346	1	191	0	0	1
6107	16221.7	22125.6	31.8	0	182.1	349	1	265	0	0	1
7160	16266.9	22165.3	26.5	0	151.9	428	1	237	0	0	1
8077	16280.9	22190.3	14.1	0	162.7	491	1	572	0	0	1
8191	16248.5	21784.5	29.7	0	146.2	500	1	205	0	0	1
8221	16281.7	21786.6	15.6	0	160.2	501	1	689	0	0	1
8232	16267	21767.4	12.3	0	140.3	502	1	689	0	0	1
8361	16245.7	21930	18.7	0	191.6	512	1	562	0	0	1
8409	16236.4	21975.4	16.4	0	177	516	1	595	0	0	1
8421	16290	21960	20	0	173.4	517	1	446	0	0	1
8432	16261.9	21985.7	19.8	0	168.7	518	1	386	0	0	1
9186	16275.3	22127.3	18.5	0	153.4	574	1	463	0	0	1
10393	16268.9	21985.4	19.3	0	178.5	666	1	475	0	0	1
10608	16909.7	22151.8	20.3	0	153.8	682	1	330	0	0	1
10676	16920.5	22125.5	10.4	0	165.5	686	1	822	0	0	1
11043	16305.7	22191.2	18.7	0	152.8	715	1	463	0	0	1
11602	16200.1	22121.2	24.3	0	175.6	759	1	436	0	0	1
11619	16204.1	22150.6	28.5	0	171	760	1	402	0	0	1
11649	16277.1	22100.6	15.8	0	150.2	762	1	378	0	0	1
14608	16573.6	21489.5	17.6	0	181.1	992	1	482	0	0	1
14627	16549.5	21503.5	16.3	0	195.2	993	1	839	0	0	1
15400	16297.1	22026	21.1	0	191	1052	1	401	0	0	1
15410	16303.7	21987.5	23.5	0	157.4	1053	1	277	0	0	1
16230	16378.2	21793.3	11.5	0	144.2	1114	1	703	0	0	1
16472	16562	21970.4	14.2	0	139.1	1132	1	369	0	0	1
17515	16547.1	21544	16.8	0	185	1214	1	584	0	0	1
17528	16547.4	21519.1	19.5	0	197.8	1215	1	483	0	0	1
19482	16505.2	21776.5	12.2	0	145.6	1365	1	594	0	0	1
19806	16403.6	21492	22.1	0	152.2	1389	1	296	0	0	1
19890	16249.7	22126	14.3	0	148.3	1397	1	380	0	0	1
20711	16182.3	22331	18.9	0	150.4	1461	1	274	0	0	1
21894	16224.7	22131.3	16.5	0	141	1554	1	326	0	0	1
21948	16253.7	22174.4	19.6	0	139.9	1557	1	251	0	0	1
22066	16257.8	22164.6	19.6	0	158.1	1564	1	352	0	0	1
22291	16785	22319.7	25.4	0	137.2	1582	1	179	0	0	1
22430	16293.1	22204.1	9.6	0	162.8	1592	1	1051	0	0	1
23430	16181.1	22319.1	7.9	0	173.2	1672	1	1510	0	0	1
23484	16180.5	22322.3	8.5	0	170.8	1676	1	1105	0	0	1
23573	16143.3	22331.1	11.6	0	185.7	1684	1	1374	0	0	1
24685	16305.2	21661.5	17.9	0	163.2	1775	1	496	0	0	1
25567	16753.6	21762.2	21.7	0	172.8	1844	1	370	0	0	1
26372	16258.1	22200.7	18.8	0	179.8	1905	1	435	0	0	1
26595	16571.1	21567.9	18.8	0	186.8	1924	1	469	0	0	1
27049	16207.5	22222.1	29	0	198.2	1959	1	361	0	0	1
27514	16553.5	21549	20.3	0	168.1	1999	1	500	0	0	1
27938	16215	22218	19	0	182.6	2032	1	542	0	0	1
27949	16256.1	22171.3	15.6	0	164.3	2033	1	522	0	0	1
28583	16223.9	22177.7	13.2	0	168.8	2081	1	538	0	0	1
29623	16551	21490.4	11.3	0	186.2	2164	1	1017	0	0	1
30115	16333.9	21614.6	22.9	0	140.3	2203	1	251	0	0	1
30156	16335.1	21607.6	22.8	0	154.9	2207	1	259	0	0	1
30615	16567.7	21500.2	29.9	0	155.9	2240	1	206	0	0	1
31167	16255.3	22158.1	14.8	0	153.6	2283	1	427	0	0	1
31176	16503.1	22036.1	25.1	0	172.6	2284	1	336	0	0	1
31329	16292.3	22168.2	26.1	0	176.3	2296	1	329	0	0	1
31419	16508.4	22012.1	26.1	0	153.9	2303	1	217	0	0	1
32209	16251	22115.7	22.7	0	137.6	2348	1	348	0	0	1
32241	16235.3	22158	20.2	0	146.4	2349	1	421	0	0	1
33988	16911.7	22164.6	18.3	0	179.2	2422	1	594	0	0	1
35138	16370.4	21798.4	27.5	0	155.9	2471	1	250	0	0	1
35552	16433.7	21494.3	12.6	0	157.9	2488	1	910	0	0	1
35572	16411	21482.7	12.4	0	161.8	2489	1	712	0	0	1
35594	16379.7	21478.5	18.1	0	170	2490	1	619	0	0	1
35839	16478.1	22199.4	15.9	0	173.8	2501	1	504	0	0	1
36506	16794.8	21769.8	9.8	0	178.1	2531	1	2300	0	0	1
37753	16369.7	21800.4	36.8	0	116.8	2591	1	129	0	0	1
37957	16287.8	22196.2	20.2	0	178.1	2601	1	558	0	0	1
37978	16265.6	22174.7	26.5	0	164.9	2602	1	386	0	0	1
38786	16237.1	22176.2	23.3	0	163	2643	1	416	0	0	1
39662	16288.7	22155	18.1	0	153.8	2688	1	441	0	0	1
39931	16294	22179.5	19	0	158.2	2700	1	407	0	0	1
39955	16302.3	22204.6	19.4	0	154.6	2701	1	379	0	0	1
39982	16264.8	22193.3	18.1	0	149.1	2702	1	341	0	0	1
40191	16208.7	21988.8	26.6	0	141	2713	1	296	0	0	1
40260	16221.2	21996.3	27	0	175.3	2717	1	363	0	0	1
40341	16271.9	22008.8	19.7	0	170.8	2721	1	404	0	0	1
40361	16247.5	22144.6	14.7	0	158.2	2722	1	494	0	0	1
40376	16223.9	22149.7	15	0	156.1	2723	1	534	0	0	1
41353	16275.7	22161.6	31.5	0	133.7	2772	1	172	0	0	1
41374	16294.3	22174.4	23.5	0	131.2	2773	1	179	0	0	1
41866	16483.5	21833.6	27	0	193.7	2797	1	388	0	0	1
42995	16627.4	22301	23.8	0	141.4	2854	1	206	0	0	1
43069	16268.2	21957.7	17.1	0	172.1	2858	1	469	0	0	1
43211	16296.8	22003.9	22.8	0	193.2	2865	1	509	0	0	1
43266	16260.8	21985.1	21.8	0	170.9	2868	1	426	0	0	1
43342	16258.4	21993.7	25	0	177.9	2872	1	401	0	0	1
43439	16428.4	21980.1	13.4	0	193.1	2877	1	858	0	0	1
43467	16282.5	21951.6	20.5	0	165.2	2879	1	400	0	0	1
43508	16305.5	21981.4	21.5	0	175.5	2881	1	489	0	0	1
43832	16256.9	22165.6	15.3	0	149.9	2898	1	413	0	0	1
44180	16293.1	22167.2	26.3	0	158.9	2917	1	230	0	0	1
45208	16277	21886.7	11.9	0	162.2	2968	1	687	0	0	1
45314	16290.9	21644	15.2	0	139.5	2974	1	346	0	0	1
45504	16324.6	21665.2	24.3	0	145.3	2985	1	224	0	0	1
46291	16313.5	21663	17.8	0	160.2	3026	1	449	0	0	1
47449	16155	22345.8	26.5	0	188.6	3089	1	471	0	0	1
48016	16279.3	22141.7	21.5	0	168.9	3122	1	394	0	0	1
48463	16261.3	22145.4	12.9	0	167.7	3148	1	605	0	0	1
48572	16256.8	22194	18.5	0	188.6	3155	1	684	0	0	1
48588	16236.6	22153.2	17.8	0	150.7	3156	1	425	0	0	1
48600	16279.6	22225	23.8	0	148.8	3157	1	196	0	0	1
50854	16796.8	22010.7	23.3	0	169.7	3281	1	334	0	0	1
53312	16392.2	21769.7	26.6	0	157.7	3422	1	293	0	0	1
53329	16407	21792.2	19.1	0	161	3423	1	349	0	0	1
