Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
435	14633.3	17748.2	12.6	0	159.5	18	1	1436	0	0	1
455	14675.1	17717.5	13.6	0	138.9	19	1	646	0	0	1
480	14701	17724	18.9	0	154.8	20	1	614	0	0	1
609	14633.5	17724.4	14	0	153	25	1	827	0	0	1
801	14689.9	17732	12.9	0	158.4	33	1	828	0	0	1
1079	14699.9	17719.6	19.6	0	151.3	47	1	771	0	0	1
1151	14060.1	17949.2	16.5	0	153.5	51	1	422	0	0	1
1302	14682.3	17700.6	14.4	0	143.9	58	1	675	0	0	1
1322	14674.2	17719.2	14.4	0	140.3	59	1	540	0	0	1
1345	14707.8	17746.7	15.4	0	148.8	60	1	665	0	0	1
1393	14788.7	18034.9	4.1	0	169.3	62	1	6017	0	0	1
1434	14067.8	17640.8	24.4	0	170.8	64	1	1082	0	0	1
1537	14676.1	17739.3	10.3	0	152.1	69	1	985	0	0	1
1981	14693.5	17724.7	20.5	0	146.1	95	1	479	0	0	1
2105	14690.9	17744.4	11	0	154.4	102	1	1042	0	0	1
2189	14752.7	18108.3	21.3	0	160.7	107	1	501	0	0	1
2324	14673	17747	19.1	0	164.7	114	1	524	0	0	1
2494	14696.7	17718.1	18.2	0	156.3	124	1	512	0	0	1
2524	14672.2	17742.1	12.5	0	166	125	1	798	0	0	1
2586	14665.6	17722.7	14.6	0	152.4	128	1	625	0	0	1
2623	14693.7	17708	29	0	142	130	1	620	0	0	1
2701	14620.6	17741.4	10.7	0	176.9	134	1	1140	0	0	1
2725	14695.8	17729.2	10.4	0	151.1	135	1	823	0	0	1
3203	14490.7	17782.5	23.1	0	149.9	165	1	359	0	0	1
3441	14173.5	17843.7	16.5	0	150.4	179	1	552	0	0	1
3812	14628.1	17685.5	31.2	0	162.6	200	1	322	0	0	1
3916	14235	17871.4	19.5	0	124.7	205	1	296	0	0	1
4589	14482.5	17754.8	4.2	0	146.4	246	1	3729	0	0	1
4642	14251.2	17806.7	6.3	0	180.2	249	1	3286	0	0	1
4654	14177	17816.1	8.7	0	153.5	250	1	1158	0	0	1
4808	14618.5	17708.6	16.9	0	150.2	260	1	394	0	0	1
4993	14489.1	17760.8	11.3	0	153.1	272	1	853	0	0	1
6874	14822.5	17499.5	24.4	0	151.3	407	1	278	0	0	1
6886	14845.8	17464.4	18.3	0	188.8	408	1	389	0	0	1
7575	14220.6	17873.5	18.4	0	144.1	455	1	338	0	0	1
7816	14833.6	17642.6	7.5	0	152.2	471	1	1258	0	0	1
8224	14841.3	17663.2	20.6	0	126.2	502	1	217	0	0	1
9046	14226.3	17889.9	11.9	0	123.7	564	1	463	0	0	1
9073	14505.9	18252.3	27.1	0	132.4	566	1	198	0	0	1
9275	14436.7	17804.5	16.2	0	148.3	582	1	363	0	0	1
9293	14428.1	17776.9	8.7	0	143.2	583	1	901	0	0	1
10032	14477.4	17681	7.3	0	177.9	640	1	2251	0	0	1
10216	14360.6	17964.6	13.4	0	163.5	654	1	733	0	0	1
10428	14455	17754	16.6	0	137.6	668	1	318	0	0	1
11597	14556.1	17674.6	29.5	0	180	759	1	391	0	0	1
11617	14423	17651.7	23.3	0	176.5	760	1	396	0	0	1
12027	14289.6	17853.4	14.6	0	153.2	791	1	498	0	0	1
12154	14037.3	17648.4	8.8	0	150.2	799	1	1043	0	0	1
12294	14089.2	17944.4	16.4	0	164.7	809	1	504	0	0	1
13027	14520	18216.8	10	0	138.9	864	1	670	0	0	1
14289	14315.1	18052.5	23.5	0	157.7	965	1	312	0	0	1
14484	14333.7	18054.6	37.2	0	147.3	982	1	173	0	0	1
14643	14279.8	18058	8.4	0	180.5	994	1	1665	0	0	1
14870	14684.6	17710.4	23.5	0	139.8	1012	1	224	0	0	1
15075	14496	17302.7	14.9	0	136.6	1028	1	448	0	0	1
15123	14515.2	17263.7	10.9	0	139.2	1031	1	577	0	0	1
15788	14385.6	17773.8	11.6	0	144.3	1083	1	558	0	0	1
16076	14365.1	17772.3	15.8	0	135.3	1104	1	401	0	0	1
16349	14819.8	17888.3	19.9	0	159.7	1124	1	314	0	0	1
16751	14415.5	17835.4	11.9	0	177.2	1153	1	2006	0	0	1
17161	14509.6	18232.9	18.7	0	150.6	1185	1	427	0	0	1
18510	14701.1	17768.9	18.5	0	143.6	1290	1	304	0	0	1
18881	14381.4	17768.3	10.9	0	153.7	1316	1	821	0	0	1
19053	14352.8	17831.3	15.1	0	195.5	1331	1	1263	0	0	1
19057	14201.4	17870.5	28.5	0	117.9	1332	1	137	0	0	1
19211	14143.4	17742.8	17.7	0	140.7	1345	1	451	0	0	1
19695	14724.4	17760.1	33.4	0	124.1	1381	1	129	0	0	1
19999	14059.3	17969.7	20.5	0	138.6	1406	1	269	0	0	1
20117	14193.4	17839.1	24.5	0	159.6	1417	1	291	0	0	1
20182	14367.6	17651.6	13.8	0	143.7	1421	1	462	0	0	1
