Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
232026	12320.8	8141.4	45.9	0	132.5	33	1	215	0	0	2
232433	12285.2	8341.8	26.9	0	111.1	100	1	185	0	0	2
232469	12350.1	8150.1	31.5	0	85.2	105	1	65	0	0	2
232591	12259.5	8094.7	40	0	128.8	128	1	206	0	0	2
232699	12355.9	8222.5	33.1	0	80.6	151	1	83	0	0	2
232734	12269	8123.1	31.2	0	92.2	157	1	116	0	0	2
232910	12222.6	8062.3	27.5	0	84.7	192	1	85	0	0	2
232948	12355.1	8078.3	40.8	0	82.8	201	1	78	0	0	2
233293	12352.3	8275.9	28.4	0	133.7	266	1	200	0	0	2
233394	12729.1	8286.4	36.4	0	112.4	287	1	107	0	0	2
233645	12290.9	8145.1	30.5	0	106.6	338	1	90	0	0	2
234106	12294.6	8261.3	35.6	0	94.6	440	1	77	0	0	2
234228	12271.5	8305.9	40.1	0	150.9	468	1	157	0	0	2
234297	12311.6	8332.1	28.9	0	141.5	486	1	224	0	0	2
234483	12456.8	7891.9	35.4	0	129.5	532	1	123	0	0	2
234730	12382.7	8135.4	24.8	0	132.6	599	1	204	0	0	2
235270	12314.1	8185.1	31.2	0	107.1	740	1	93	0	0	2
235309	12183.1	8253.6	38.8	0	126	750	1	104	0	0	2
235385	12189.9	8212.9	32.6	0	112.4	769	1	115	0	0	2
235675	12300.9	8155.4	31.2	0	81.5	852	1	55	0	0	2
235746	12486.8	7849.6	46.2	0	124.6	872	1	95	0	0	2
235786	12511.2	7825.7	49	0	100.8	886	1	75	0	0	2
236397	12723.5	8269.5	40.5	0	175.4	1090	1	207	0	0	2
236446	12814.6	8292.9	33.3	0	160	1108	1	213	0	0	2
236541	12351.1	8315.5	30.1	0	97.1	1138	1	89	0	0	2
236899	12211.1	8256.3	39.6	0	142.5	1266	1	146	0	0	2
236926	12227.8	8266.1	31.7	0	127.7	1279	1	124	0	0	2
236967	12226	8258.2	33.9	0	107.5	1293	1	83	0	0	2
236992	12266.1	8282.6	32.4	0	109	1303	1	106	0	0	2
