Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
93	10216.4	4219.6	21.7	0	136.5	5	1	338	0	0	1
606	9838.3	4152	15.8	0	106.5	34	1	254	0	0	1
624	9828.5	4111.5	15.8	0	114.6	35	1	317	0	0	1
711	9851.8	4147.4	21.1	0	113.3	41	1	182	0	0	1
859	10170.1	4539.7	22.1	0	199.5	49	1	1103	0	0	1
1189	10038.8	4696	12.2	0	186.9	69	1	1131	0	0	1
1240	10074.1	4688.4	12	0	163.8	72	1	1087	0	0	1
1837	10260.4	3948	21	0	143.7	109	1	273	0	0	1
2066	10067.6	4436.1	26	0	173.6	123	1	298	0	0	1
2068	10096.7	4473	25	0	160.1	124	1	344	0	0	1
2425	10153.4	4430.5	36	0	102.6	149	1	149	0	0	1
2483	10121.6	4522.9	18.6	0	143.6	153	1	386	0	0	1
2983	10426.4	4313.7	21.1	0	169.9	184	1	554	0	0	1
3185	10047.3	4573.8	12.3	0	154.1	197	1	825	0	0	1
3198	10052	4544	12.7	0	139.3	198	1	613	0	0	1
3306	9800.9	4209.3	37.6	0	123.6	204	1	216	0	0	1
3418	10416.4	4746.6	9.1	0	147.6	212	1	1108	0	0	1
3436	10356	4753.7	18.6	0	153.8	213	1	754	0	0	1
4139	10421.6	4761.2	20.3	0	166.1	258	1	804	0	0	1
4560	10128.5	4520.5	23.2	0	141.1	285	1	248	0	0	1
4573	10142.4	4554.1	18.9	0	142.3	286	1	275	0	0	1
4590	10149.2	4516.4	21.8	0	148.3	287	1	284	0	0	1
5431	10021.5	4456.3	21.9	0	170.2	341	1	747	0	0	1
6665	9759.5	4327.5	30.6	0	148.4	421	1	216	0	0	1
6735	10125.3	4260.2	20.7	0	121	426	1	312	0	0	1
7121	9762.8	4300.9	17.8	0	177.1	456	1	465	0	0	1
7201	10064.1	4503.8	24.5	0	155.9	461	1	267	0	0	1
7698	10251.5	4123.2	18.2	0	197.2	496	1	1020	0	0	1
7712	10240.5	4158.4	14.3	0	159.3	497	1	833	0	0	1
7740	10200	4149.2	20.5	0	164.6	499	1	579	0	0	1
7810	10246.6	4206.7	16.3	0	148.9	503	1	426	0	0	1
9513	10528	4460.5	23.4	0	131.9	619	1	352	0	0	1
9584	10529.4	4438.6	10.7	0	178.9	624	1	1186	0	0	1
9597	10503.7	4402.8	10.8	0	187	625	1	1249	0	0	1
9619	10502	4443.6	18.3	0	185.2	627	1	1088	0	0	1
10216	10529.9	4385.9	39.5	0	172.3	669	1	402	0	0	1
10651	10115.5	4532.7	18.5	0	147.5	698	1	451	0	0	1
10661	10086.8	4524.8	7.9	0	148.6	699	1	1238	0	0	1
10689	10134.5	4503.6	28.4	0	188.6	701	1	755	0	0	1
10992	10120	3924.3	33.4	0	138.9	721	1	307	0	0	1
11010	10144.2	3954	22.2	0	173.3	722	1	458	0	0	1
12794	10175.1	4001.6	23.4	0	140.4	852	1	426	0	0	1
12812	10110.9	4029.7	19.9	0	115.2	853	1	205	0	0	1
12983	9793	4142.2	13.1	0	112.5	866	1	447	0	0	1
13020	9838.4	4181.5	30.2	0	110.6	868	1	146	0	0	1
13843	9695.1	4257	22.2	0	161.4	923	1	331	0	0	1
14401	9672.5	4653.6	16.9	0	144.5	962	1	367	0	0	1
15515	9786.6	4338.9	17.9	0	174.2	1037	1	424	0	0	1
15554	9709.7	4320.6	26.9	0	171.5	1039	1	375	0	0	1
16208	10107.9	4509.7	21.1	0	136.6	1083	1	290	0	0	1
16232	10118.4	4529	24.5	0	140.2	1084	1	232	0	0	1
16452	10226	3957.7	36.2	0	136.8	1098	1	280	0	0	1
16484	10105.8	4240.1	26.2	0	110.6	1100	1	201	0	0	1
16775	10211.8	4196.6	24.3	0	141.7	1119	1	250	0	0	1
17809	10067.8	4527.8	37.2	0	136	1193	1	212	0	0	1
18837	10264.2	4001.6	31.6	0	174.6	1264	1	371	0	0	1
18859	9884.1	4490.9	36.4	0	123.8	1266	1	171	0	0	1
18924	9607.7	4336.7	23.1	0	182.3	1270	1	438	0	0	1
19061	10009.3	4052.6	17.7	0	134.9	1280	1	363	0	0	1
20244	10431.5	4606.6	16.6	0	145.7	1364	1	389	0	0	1
20772	9689.9	4585.7	20.4	0	175.1	1401	1	602	0	0	1
21487	10047.5	4459.5	17.7	0	164.6	1452	1	621	0	0	1
21497	10073.8	4490.6	11.4	0	147.7	1453	1	662	0	0	1
21542	10067.2	4535.2	18.6	0	148.6	1456	1	479	0	0	1
21589	10144.3	4896	31.7	0	138.7	1459	1	232	0	0	1
23152	10004.7	4554.1	30.2	0	156.4	1568	1	292	0	0	1
23161	10024.9	4508.2	30	0	133.8	1569	1	203	0	0	1
23549	10101.1	4875.8	23.6	0	128.1	1596	1	284	0	0	1
23702	9678.3	4589.8	18.4	0	178.8	1607	1	942	0	0	1
23716	9717.5	4560	11.3	0	166.7	1608	1	1077	0	0	1
24162	9939	4320.6	15.7	0	168.3	1639	1	529	0	0	1
24418	9762.9	4149.3	17.7	0	116.7	1657	1	353	0	0	1
24644	10122.7	4484.3	23.1	0	167.5	1672	1	368	0	0	1
24667	10089.1	4490	28.2	0	134.4	1673	1	198	0	0	1
24678	10128.5	4443.7	28.8	0	146.4	1674	1	255	0	0	1
24691	10185.1	4220.6	19.5	0	167.9	1675	1	467	0	0	1
25461	10378.4	4300	18.9	0	159.2	1729	1	392	0	0	1
27846	10054.6	4638.8	14.6	0	132.2	1896	1	380	0	0	1
27896	9700.3	4608.3	18.8	0	155.4	1899	1	388	0	0	1
28700	10111.3	4342.6	27.7	0	130.8	1957	1	209	0	0	1
28727	10036.2	4360	33.2	0	151.5	1959	1	232	0	0	1
30115	10392.6	4598.3	18.2	0	139.6	2063	1	283	0	0	1
30134	10436.8	4640.3	25.8	0	148.9	2064	1	253	0	0	1
30961	10073.2	4468.3	20.1	0	142.5	2124	1	239	0	0	1
31042	9776.2	4337.1	17	0	164.9	2130	1	545	0	0	1
31335	10007.3	4602.7	25.1	0	154.4	2150	1	261	0	0	1
31673	10048.9	4694.6	20.8	0	183.4	2175	1	495	0	0	1
31808	10070.7	4475.6	24.5	0	159.1	2184	1	262	0	0	1
31925	10059	4644	13.2	0	160.6	2193	1	652	0	0	1
31946	10081.3	4650.3	14.8	0	152.9	2194	1	419	0	0	1
31963	10078.4	4490.5	18.5	0	147.7	2195	1	366	0	0	1
32139	9776.5	4299.4	34.7	0	136.6	2206	1	190	0	0	1
32223	9759.2	4362.2	20.5	0	161.7	2212	1	361	0	0	1
33740	9796.7	4132.8	23.7	0	105.2	2326	1	177	0	0	1
35071	10347.6	4281.2	23.3	0	144.9	2429	1	345	0	0	1
35117	10375.4	4322.5	14	0	140.1	2432	1	383	0	0	1
36920	9586.9	4349.4	43	0	103.6	2562	1	108	0	0	1
37034	10398.4	4274.2	23.3	0	146.1	2569	1	298	0	0	1
37071	9962.3	4383.6	26.3	0	139.9	2571	1	229	0	0	1
37418	10381.2	4327.4	17.3	0	154.3	2589	1	480	0	0	1
37701	10039.8	4280	25.8	0	102.1	2604	1	138	0	0	1
37720	10077.9	4284.4	38.3	0	120.6	2605	1	172	0	0	1
37736	9775.8	4373.3	24.8	0	155.2	2606	1	319	0	0	1
38268	9681.6	4633.1	25.2	0	165	2635	1	360	0	0	1
38436	9745.5	4536.5	22.1	0	183	2646	1	529	0	0	1
38496	9730.6	4539.7	10.4	0	193.3	2650	1	1296	0	0	1
38510	9737.4	4563.6	11.1	0	186.2	2651	1	1294	0	0	1
39604	10117.1	4526.5	27.2	0	121	2711	1	213	0	0	1
39665	10092.3	4506	35.3	0	140.7	2714	1	269	0	0	1
39905	10079	4616.2	13.5	0	171.8	2731	1	946	0	0	1
40063	10046.1	4678.3	24.8	0	116.9	2741	1	198	0	0	1
40143	10054.2	4119.6	28.9	0	195.4	2745	1	405	0	0	1
40398	9979.4	4067.5	32.5	0	147.2	2760	1	239	0	0	1
40806	10069	4485.2	22	0	153.4	2785	1	484	0	0	1
40883	10070.8	4458.1	25	0	162.8	2789	1	373	0	0	1
41291	9974.1	4061.1	32.5	0	162.2	2811	1	397	0	0	1
41322	10064.3	4114.5	31.2	0	149.8	2813	1	369	0	0	1
41374	10099.2	4474.5	20	0	163.1	2817	1	700	0	0	1
41389	10119.6	4423.7	19.8	0	165.9	2818	1	751	0	0	1
41437	10077	4521.8	17.4	0	153.1	2820	1	569	0	0	1
41474	10092.5	4603	23.2	0	182.9	2822	1	534	0	0	1
41489	10116.8	4514.2	18.9	0	141.7	2823	1	607	0	0	1
41617	10105.6	4479.5	18.4	0	166	2830	1	855	0	0	1
42252	10147.3	4633	31.1	0	158	2864	1	306	0	0	1
43798	9725.7	4172.4	20.2	0	146.4	2957	1	276	0	0	1
43838	9737.1	4237.7	24.8	0	191.9	2960	1	523	0	0	1
43941	9741	4215.2	20.8	0	174.2	2966	1	488	0	0	1
43966	9745.6	4238.5	20.9	0	180.1	2967	1	350	0	0	1
44749	9601.2	4323.8	25.4	0	157	3013	1	338	0	0	1
45811	10222.9	3966.9	21.4	0	157.4	3075	1	264	0	0	1
45883	10179.2	3968.2	25	0	155.8	3078	1	266	0	0	1
46342	10092.8	4526.3	10	0	133.1	3109	1	682	0	0	1
46406	10122.7	4546.5	21.8	0	116.8	3113	1	220	0	0	1
47231	9991	4589.7	20.6	0	155.1	3163	1	558	0	0	1
47287	10034.4	4617.3	16.5	0	139.5	3166	1	428	0	0	1
47894	9774.4	4228.3	20.1	0	112.2	3204	1	135	0	0	1
48855	10197.6	3977.8	27.3	0	173.9	3266	1	311	0	0	1
49007	9823.2	4300	16	0	174.5	3276	1	597	0	0	1
49059	9805.9	4317.4	12.2	0	190.3	3280	1	1406	0	0	1
49165	10102.1	4342.2	28.6	0	181.4	3286	1	451	0	0	1
49180	10107.5	4489.8	30.3	0	157.7	3287	1	254	0	0	1
49889	9973.6	4321.8	25.6	0	131	3329	1	234	0	0	1
49908	9921	4334.5	20.1	0	136.3	3330	1	272	0	0	1
