Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
255	10678	18050.1	14	0	159.5	14	1	1112	0	0	1
305	10696.4	18068.1	11.5	0	153.9	17	1	1337	0	0	1
418	10657.2	18138.4	13.6	0	198	23	1	2857	0	0	1
484	10654.6	18055.7	16.4	0	172.6	27	1	1593	0	0	1
2836	10570.6	18571.5	29.4	0	149.7	174	1	580	0	0	1
3768	10858.6	18342.3	13.2	0	157.4	234	1	848	0	0	1
3818	10808.1	18337.8	33.2	0	182.6	237	1	588	0	0	1
3847	10869.6	18319.4	20.1	0	156.5	239	1	678	0	0	1
3856	10872	18348.1	17.5	0	162.9	240	1	879	0	0	1
4839	10618.2	18518.3	21.8	0	199.2	304	1	1272	0	0	1
5944	10166.6	18550.7	17.8	0	194.3	376	1	1258	0	0	1
6264	10227.2	18557.1	12.5	0	165.3	396	1	1614	0	0	1
6851	10778	18381.8	30.8	0	189.7	435	1	700	0	0	1
6930	10815.8	18431.1	33.2	0	178.8	441	1	438	0	0	1
12439	10535.2	18847.2	20.4	0	167	824	1	786	0	0	1
13433	10611	18778.4	17.1	0	170.2	895	1	1230	0	0	1
15003	10094.7	18519.7	27	0	180.1	1005	1	563	0	0	1
15692	10945.8	18351.7	20.3	0	128.5	1049	1	392	0	0	1
20251	10144.3	18663	10.6	0	189.6	1365	1	1934	0	0	1
20271	10146.4	18642.5	11	0	186.7	1366	1	1667	0	0	1
21144	10934.3	18351.8	21.9	0	146.4	1426	1	354	0	0	1
21164	10955.4	18343.4	28.6	0	158.3	1427	1	351	0	0	1
22935	10715	18347.3	15.4	0	143.4	1554	1	711	0	0	1
22966	10684.2	18311.5	23.5	0	182.6	1556	1	1035	0	0	1
23006	10686.8	18359.4	14.7	0	150.5	1559	1	858	0	0	1
23056	10710.8	18349.8	13	0	122.7	1562	1	613	0	0	1
23107	10542	18551.9	13	0	157.5	1566	1	1259	0	0	1
25472	10660.6	18870.8	24.2	0	110	1730	1	246	0	0	1
25955	10158.9	18797	12.8	0	194.9	1765	1	2319	0	0	1
26749	10235.7	18504.3	15.3	0	195.7	1816	1	1287	0	0	1
