Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
1323	17379.8	14567.5	11	0	147	73	1	1013	0	0	1
1339	17365.7	14596.6	10	0	169.5	74	1	2043	0	0	1
1992	17573.1	14476.1	14.9	0	151.9	114	1	825	0	0	1
2017	17564.6	14560.6	20.1	0	145	115	1	602	0	0	1
2028	17551.6	14437.7	10.2	0	132.6	116	1	1297	0	0	1
3208	17703.9	14562.4	15.5	0	155.1	189	1	768	0	0	1
4041	17367.4	14633.7	13.9	0	175.3	242	1	1321	0	0	1
4053	17357.5	14558.6	10.7	0	155.5	243	1	889	0	0	1
5442	17810.4	14981.8	28.9	0	141.8	338	1	275	0	0	1
5807	17493.5	14665.5	17.8	0	195	367	1	621	0	0	1
6080	17668.1	14579.2	25.2	0	150.9	387	1	302	0	0	1
6379	17541.2	14584.1	15.6	0	166	410	1	1104	0	0	1
8366	17415.6	14914.1	17.4	0	180.4	546	1	1336	0	0	1
8802	17420.1	14823.2	21.2	0	154.3	575	1	378	0	0	1
8817	17558.6	14551.2	20.9	0	164.6	576	1	453	0	0	1
8946	17548.8	14589.5	24.8	0	178.9	585	1	607	0	0	1
8980	17853.4	14565.4	13	0	144.7	587	1	544	0	0	1
11092	17540.3	14684.9	13.9	0	153.7	745	1	824	0	0	1
11109	17491.8	14688	23.4	0	194.2	746	1	594	0	0	1
11193	17902.5	14655.4	17.3	0	147.6	752	1	463	0	0	1
11379	17627.6	14548.7	14.2	0	138.9	764	1	507	0	0	1
11391	17608	14570.3	16	0	158.3	765	1	506	0	0	1
12133	17496.6	14652.4	20.9	0	164.2	823	1	346	0	0	1
12889	17821.2	14978.8	10.4	0	170.9	881	1	1252	0	0	1
15927	17646.8	14583.1	17.1	0	175.7	1137	1	877	0	0	1
16829	17509.3	14728.4	13.4	0	162	1209	1	675	0	0	1
16994	17830.3	14303.5	15.7	0	151.8	1222	1	496	0	0	1
17829	17720.5	15016.9	13.8	0	194.3	1286	1	1006	0	0	1
17841	17797.2	14976.8	10.7	0	170.6	1287	1	1190	0	0	1
18104	17603.4	14581.9	19	0	169.1	1308	1	669	0	0	1
18391	17417.4	14877.6	14.4	0	176.7	1332	1	720	0	0	1
18496	17779.2	14948.8	17.5	0	189.7	1342	1	834	0	0	1
18543	17653.2	14861.6	26.9	0	198.1	1346	1	455	0	0	1
18643	17711.2	14911.4	23.2	0	187.5	1355	1	457	0	0	1
18723	17512.7	14902.9	29	0	187.9	1361	1	502	0	0	1
18730	17405.8	14875.6	13.8	0	161.5	1362	1	788	0	0	1
18971	17493.7	14623.5	17.2	0	174.2	1384	1	493	0	0	1
19168	17872	15069.4	22.4	0	167.2	1402	1	411	0	0	1
19193	17837.6	15065.4	23.9	0	180.7	1404	1	612	0	0	1
19225	17626.9	15028.8	27.5	0	191.4	1406	1	590	0	0	1
19331	17497.9	14638.8	15.5	0	156	1415	1	786	0	0	1
19377	17468.6	14667.2	14.8	0	164	1418	1	709	0	0	1
19920	17514.9	14733.3	13.7	0	152.8	1463	1	625	0	0	1
20231	17387.5	14867.9	17.6	0	136.4	1490	1	351	0	0	1
20710	17516.4	14703.5	13.1	0	144.9	1527	1	653	0	0	1
20722	17448.1	14796.8	12.9	0	180.3	1528	1	1148	0	0	1
20786	17433.8	14822.7	24.6	0	198.1	1532	1	417	0	0	1
21163	17855.4	14337.3	13.6	0	141.4	1564	1	863	0	0	1
21245	17545	14684.3	9.4	0	157.7	1571	1	1101	0	0	1
21259	17491.1	14740.9	15.2	0	192.6	1572	1	1384	0	0	1
21410	17542.6	14458.4	11.2	0	153.4	1585	1	991	0	0	1
21505	17535.5	14487.3	29	0	130.6	1592	1	171	0	0	1
22268	18289	14537.3	19.6	0	165	1656	1	387	0	0	1
22276	18265.5	14567.9	19	0	130.4	1657	1	377	0	0	1
22814	17425.2	14915.6	11.4	0	169.1	1704	1	827	0	0	1
23451	17403.8	14652.8	22.8	0	195.3	1760	1	510	0	0	1
23809	18182.4	14984.8	17	0	148.3	1787	1	363	0	0	1
23962	18199.8	14991.1	24	0	139.4	1799	1	221	0	0	1
24365	17816.3	14969.8	14.1	0	158	1832	1	599	0	0	1
24418	17418.9	14635.4	16.4	0	164.4	1837	1	570	0	0	1
24621	17847.4	14580.3	6.4	0	133	1854	1	1307	0	0	1
25489	18307.9	14517.2	6.3	0	166.2	1930	1	2057	0	0	1
25527	18292.3	14497.6	12.8	0	168.9	1933	1	1142	0	0	1
25635	18313.3	14551.7	7.7	0	167.6	1941	1	1882	0	0	1
25695	18319.1	14555.7	15.6	0	162.5	1946	1	1078	0	0	1
25855	17858.2	14985.1	15.1	0	156.4	1959	1	563	0	0	1
26056	17842.1	14569.8	17.1	0	145.8	1975	1	338	0	0	1
26072	17568.8	14449.4	16	0	166.4	1977	1	569	0	0	1
26341	17853.7	14555.4	12.7	0	153.7	2001	1	646	0	0	1
26510	17711.1	14584.1	20	0	186.7	2014	1	447	0	0	1
26959	17490.7	14658	15.4	0	167.2	2054	1	579	0	0	1
27353	18101.8	15046	16.9	0	167.5	2086	1	723	0	0	1
27451	17847.5	14550.1	15.1	0	134.1	2095	1	552	0	0	1
