Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
16	5602	15008.4	14.4	0	179.9	1	1	2203	0	0	1
82	5580.7	14917.3	15.6	0	184.9	5	1	2006	0	0	1
153	5625.7	14936.2	22.1	0	191.3	9	1	899	0	0	1
847	5829.6	15596.5	7.7	0	196.8	46	1	3050	0	0	1
1645	5619.1	15308.4	24.9	0	164.3	92	1	777	0	0	1
2656	5703.9	15402	25.2	0	192.9	154	1	772	0	0	1
3705	5086	15177.2	23.5	0	169.7	222	1	601	0	0	1
4248	5620.3	15305.8	32.6	0	169.4	256	1	540	0	0	1
5982	5730.2	15660	36.4	0	155.1	380	1	245	0	0	1
6290	5783.8	15678.2	36	0	196.6	402	1	523	0	0	1
6311	5747.9	15683.3	36	0	159.3	404	1	412	0	0	1
7025	5201.8	15556.6	13.9	0	180.9	451	1	1130	0	0	1
7539	5620	15350.3	38.2	0	181.3	487	1	548	0	0	1
7745	5809	15589	13.6	0	191	501	1	1330	0	0	1
8747	5319.6	15494.3	8.1	0	152.2	572	1	1497	0	0	1
8764	5339.2	15500.6	16.6	0	148.5	573	1	626	0	0	1
9080	5466.8	15408.6	7.9	0	184.8	595	1	5376	0	0	1
9154	5434.5	15381.4	22.6	0	159.2	600	1	512	0	0	1
10565	5331.5	15185	24.4	0	162.5	705	1	642	0	0	1
10862	5392.5	15360.1	17.4	0	154.4	728	1	494	0	0	1
11440	5696	15381.7	26.1	0	171.8	770	1	531	0	0	1
11473	5718.9	15388	27.5	0	150.4	772	1	511	0	0	1
12463	5548.2	15587.4	20.1	0	193.1	849	1	868	0	0	1
12496	5513.9	15608.6	18.6	0	176.9	852	1	1000	0	0	1
12598	5539.8	15604	10.7	0	176.3	860	1	1883	0	0	1
12616	5508.1	15603.6	12.7	0	169	861	1	1432	0	0	1
13550	5212.8	15571	9.4	0	189.3	940	1	2058	0	0	1
13893	5599.5	15334	25.1	0	164.4	968	1	472	0	0	1
15384	5723.9	15651.9	29.2	0	138.8	1095	1	234	0	0	1
15387	5692.2	15601.9	13	0	165.9	1096	1	1123	0	0	1
15507	5310	15468.7	23.3	0	191.4	1104	1	537	0	0	1
15517	5622.2	15293	30.9	0	137	1105	1	318	0	0	1
15889	5722.2	15420.1	19.8	0	158.6	1134	1	697	0	0	1
15900	5715.7	15387.1	23.1	0	195.7	1135	1	740	0	0	1
15908	5672.9	15390.6	16.8	0	165.6	1136	1	670	0	0	1
15925	5504.8	15372.2	12.3	0	172.8	1137	1	1064	0	0	1
15942	5434	15411.2	24	0	180.9	1138	1	540	0	0	1
15994	5461	15382.6	21.2	0	157.9	1142	1	472	0	0	1
17366	5741.9	15263.5	18.9	0	170.3	1249	1	781	0	0	1
17402	5789.5	15276	14.2	0	180.7	1252	1	1757	0	0	1
18772	5686.8	15441	19.8	0	157.7	1365	1	611	0	0	1
18779	5665.9	15452.8	24.7	0	195	1366	1	922	0	0	1
18846	5351.8	14844.2	13.3	0	194.6	1373	1	1980	0	0	1
18899	5669.7	15412.7	33.7	0	161.5	1378	1	366	0	0	1
18926	5602.3	15346	18.9	0	158.9	1381	1	846	0	0	1
19148	5273.1	15428.7	34.3	0	182.8	1400	1	359	0	0	1
19200	5638.6	15384.9	46.5	0	180.4	1404	1	418	0	0	1
19221	5610.3	15358.8	26.1	0	138.6	1406	1	350	0	0	1
19327	5692.9	15413.8	11.7	0	176	1415	1	1536	0	0	1
19387	5604.2	15331.3	17.2	0	183.8	1419	1	1124	0	0	1
19493	5698.3	15654	24	0	157.2	1428	1	498	0	0	1
19694	5652.5	15404.5	28.4	0	186.5	1444	1	483	0	0	1
19710	5719.3	15415.1	28.2	0	168.3	1445	1	617	0	0	1
20147	5627.7	15363.6	31.1	0	141.6	1482	1	295	0	0	1
20258	5791.5	15694.8	31.2	0	136.1	1492	1	208	0	0	1
22525	5285.2	15367.7	8.3	0	195.9	1679	1	2113	0	0	1
23261	5249.4	15060.4	18.5	0	142.6	1744	1	454	0	0	1
24516	5628.1	15325.7	25.9	0	126.2	1846	1	256	0	0	1
24865	5589.5	15376.7	28.3	0	133.3	1878	1	325	0	0	1
24880	5621.5	15375.8	12.8	0	155.9	1879	1	1008	0	0	1
24894	5612.5	15394.6	17.3	0	163.9	1880	1	994	0	0	1
25001	5599.8	15360.9	18	0	152.3	1887	1	667	0	0	1
25126	5628.9	15381.3	19.1	0	180.1	1897	1	857	0	0	1
