Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
482	11464.4	10756.3	34.7	0	152.9	25	1	345	0	0	1
617	11043.7	11067.3	15.6	0	172.6	32	1	2223	0	0	1
1089	10943.6	10679.4	47.5	0	114.4	60	1	187	0	0	1
1124	10959.7	10664.5	42.7	0	122.4	61	1	243	0	0	1
1382	11450	10759.5	26.8	0	145.8	76	1	433	0	0	1
1601	10987	10649.7	35.2	0	111.3	89	1	286	0	0	1
1736	11096.6	10837.6	27.8	0	113.9	97	1	267	0	0	1
1936	10948.5	10364.1	18.8	0	144.7	111	1	441	0	0	1
1953	10962.2	10383.8	15.2	0	156.6	112	1	678	0	0	1
2695	11006.9	11077.7	15.5	0	164.7	157	1	1210	0	0	1
2724	11381.1	10723.4	29.5	0	158.9	158	1	412	0	0	1
3307	10897.1	10362.8	6.4	0	154.5	196	1	2414	0	0	1
3338	10781.2	10382.6	21.6	0	194.3	198	1	1107	0	0	1
3937	11003.4	11043.1	19.7	0	181.1	236	1	979	0	0	1
3949	11037.6	11104	8.1	0	169.5	237	1	2290	0	0	1
4780	10987.1	11086.9	16.8	0	174.1	292	1	1218	0	0	1
4957	11487.3	10777.9	26.7	0	172.6	305	1	540	0	0	1
5758	11372.3	10270.8	19.5	0	199.7	364	1	1097	0	0	1
6121	11003	11063.1	16.5	0	171.2	390	1	1174	0	0	1
7423	11061.7	10620.8	26	0	133.4	479	1	272	0	0	1
8558	11074.8	11091.3	28.7	0	139.2	559	1	284	0	0	1
8606	11032.5	11079.1	32	0	152.2	562	1	332	0	0	1
9075	11137.7	10968.1	39	0	124.5	594	1	201	0	0	1
9110	11027.3	11048.6	13.6	0	168.7	597	1	1165	0	0	1
9475	11408.4	10771	19.5	0	176.2	623	1	1038	0	0	1
9570	11113.3	10636.3	12.9	0	165	629	1	1206	0	0	1
10159	11451.7	10489.9	27.8	0	150.9	675	1	343	0	0	1
10848	10978.9	11096.6	15.8	0	157.9	727	1	933	0	0	1
10898	10963.1	10381.3	17.4	0	159.9	731	1	788	0	0	1
11591	11281.1	10279.6	13	0	165.4	782	1	909	0	0	1
11925	10907.4	10363.2	31.6	0	161.6	808	1	456	0	0	1
12418	11195.7	11009.2	26.5	0	158.5	845	1	321	0	0	1
12542	10851	10456.9	39.1	0	194.3	855	1	380	0	0	1
12652	10762.9	10463.1	38.7	0	142.8	863	1	231	0	0	1
13057	11036.5	11078.6	13.5	0	175.2	897	1	1127	0	0	1
13066	11117.2	11124.3	9.1	0	190.7	898	1	1601	0	0	1
13094	11446.8	10503.5	15.4	0	156.1	900	1	550	0	0	1
13400	11300.8	10292.7	16.5	0	187.2	927	1	760	0	0	1
14396	11472.7	10748.1	32.1	0	150.5	1011	1	266	0	0	1
14944	11296.2	10390.3	30.7	0	100.5	1058	1	143	0	0	1
14964	10956.5	10355.8	16.7	0	156.6	1060	1	798	0	0	1
15376	10941.7	10356.9	18.7	0	174.9	1095	1	1045	0	0	1
15404	11144.9	10713	24.5	0	158.1	1097	1	513	0	0	1
15423	11135	10637	30.4	0	165.8	1098	1	398	0	0	1
15458	11219.3	10340.1	15.6	0	165.1	1101	1	1026	0	0	1
16475	10977.2	10366.6	22.8	0	131.3	1180	1	408	0	0	1
16784	11151.7	10719.4	8.3	0	149.8	1206	1	1941	0	0	1
17082	11013.6	11088.8	17.4	0	157.1	1229	1	795	0	0	1
17715	11451.8	10276.1	45.6	0	116.9	1275	1	133	0	0	1
17789	10964.8	11088.3	27.2	0	188.6	1282	1	500	0	0	1
18578	11029.6	11063.6	13.3	0	144	1351	1	665	0	0	1
19779	11515.8	10360.5	26.7	0	162.4	1450	1	377	0	0	1
19800	11450.1	10250.4	28.9	0	193.4	1452	1	550	0	0	1
19903	10966.5	11055.2	23.8	0	102.1	1461	1	125	0	0	1
21635	11019.6	11063.8	17.3	0	178.9	1604	1	946	0	0	1
21686	11091	10611.2	16.9	0	169.2	1608	1	667	0	0	1
21846	11197.9	10155.2	20	0	152.6	1621	1	378	0	0	1
22117	11014.5	11075.1	37.1	0	148	1643	1	258	0	0	1
23277	11616.2	10616.8	30.6	0	198.9	1745	1	437	0	0	1
23305	11550.1	10323.6	17.7	0	182.1	1748	1	994	0	0	1
24464	11036.3	10614	41.1	0	129.6	1841	1	135	0	0	1
