Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
682	19207.1	18134.2	41.9	0	117.6	35	1	209	0	0	1
923	19583.1	18637.9	25.4	0	180.3	49	1	560	0	0	1
1035	18731.8	18393.3	38.6	0	135.1	56	1	268	0	0	1
1413	18911.3	18219.3	15	0	199.7	78	1	2203	0	0	1
1685	18913.5	18243.8	17.8	0	193.9	94	1	1038	0	0	1
1778	18721.4	18458.9	24.3	0	150.5	100	1	377	0	0	1
2124	18707.5	18471.5	25.2	0	118.8	122	1	206	0	0	1
2500	18773	18468.5	23.7	0	164.9	145	1	613	0	0	1
3289	18725.5	18483.9	21	0	135.8	194	1	256	0	0	1
3305	18737.7	18457.5	31.1	0	146.1	195	1	298	0	0	1
3358	18728.8	18455.8	23.7	0	167.9	199	1	389	0	0	1
4064	18766.2	18456.1	32.4	0	134.5	243	1	219	0	0	1
4206	19116.7	18117	26.9	0	183.4	253	1	757	0	0	1
4221	19078.2	18161.2	15.5	0	178.1	254	1	685	0	0	1
4299	19067.3	18133.4	32.8	0	148.8	259	1	292	0	0	1
4310	19062.5	18111.9	24.8	0	167.1	260	1	497	0	0	1
4645	19104.4	18436.9	23.5	0	168.2	282	1	540	0	0	1
4778	18723.8	18469.9	24.7	0	114.4	291	1	149	0	0	1
5265	18739.1	18478.3	24.7	0	128.4	326	1	275	0	0	1
5511	18721.3	18484.2	18.5	0	145.9	345	1	453	0	0	1
5869	18719	18482.8	29.8	0	130.9	371	1	192	0	0	1
6153	19092.1	19032	16.6	0	170.5	393	1	1152	0	0	1
6389	18705.6	18502.3	37.2	0	135	410	1	250	0	0	1
6677	18778.1	18489.2	29.7	0	184.1	429	1	411	0	0	1
7091	18754.1	18478	30.9	0	145.2	455	1	260	0	0	1
7326	19111.3	18462.6	31.8	0	134.7	472	1	213	0	0	1
7359	19283.9	18791.8	21.7	0	190.7	475	1	1096	0	0	1
7375	19330.6	18801.3	10	0	173.8	476	1	2394	0	0	1
7417	19313	18782.5	16	0	169.9	479	1	1038	0	0	1
7492	19327	18824	19	0	161.7	484	1	726	0	0	1
8997	18723	18460.8	29.1	0	145.9	588	1	388	0	0	1
10197	19619.7	18333.6	19.6	0	154.5	678	1	509	0	0	1
10945	18925	18184.2	19.9	0	172.9	734	1	521	0	0	1
11881	18971.2	18193.4	29.8	0	188.5	804	1	415	0	0	1
12068	19358.7	18818.1	21.6	0	173.3	819	1	488	0	0	1
12131	19374	18801.8	20	0	179	823	1	601	0	0	1
13471	18856.1	18463.1	18.1	0	197.6	932	1	665	0	0	1
13484	18988.5	18463	26.1	0	147	933	1	303	0	0	1
14262	19147.2	18834.8	10.1	0	152.6	1000	1	1047	0	0	1
14613	19317.4	18437.3	10.8	0	159.5	1029	1	892	0	0	1
15633	18975	18305.2	10.4	0	178.6	1116	1	1529	0	0	1
17888	19342.1	18812.3	33	0	129.3	1290	1	162	0	0	1
18331	18933.3	18209.7	23	0	151.2	1326	1	284	0	0	1
22046	18928.8	18222.5	14.9	0	169.5	1638	1	492	0	0	1
22115	18968.7	18246.8	25.4	0	189.4	1643	1	438	0	0	1
22132	18931.3	18182.1	25.6	0	158.2	1644	1	265	0	0	1
22162	18974	18199	30	0	165.5	1647	1	322	0	0	1
23301	18902.3	18268.4	22.2	0	196	1747	1	442	0	0	1
23430	19407.6	18588.1	16.5	0	159.7	1759	1	696	0	0	1
23839	18844.4	18299.9	21.6	0	120.5	1789	1	156	0	0	1
24935	18832.3	18250.1	8.8	0	179.2	1883	1	1491	0	0	1
24966	18869.4	18262.3	7.8	0	184.4	1885	1	1802	0	0	1
24985	18874.6	18282.2	15	0	198.6	1886	1	1336	0	0	1
25071	18824.1	18271.4	10.9	0	168.8	1892	1	935	0	0	1
25086	18846.9	18259.9	12	0	175.8	1893	1	899	0	0	1
25676	18874.7	18336.2	25.2	0	134.2	1944	1	161	0	0	1
26253	18831.7	18357.7	13.4	0	161.4	1992	1	701	0	0	1
26308	18868.2	18349	25.3	0	144.3	1997	1	207	0	0	1
26433	18844.6	18355.6	38	0	127.2	2008	1	159	0	0	1
26488	18866.1	18353	18.1	0	162.2	2012	1	334	0	0	1
26545	19084.7	18865.8	27.8	0	196.5	2017	1	796	0	0	1
27712	18928.7	18254.6	21.6	0	171	2115	1	378	0	0	1
27722	18923.2	18210.3	23.7	0	164.4	2116	1	289	0	0	1
28049	19112.3	18464.7	12.8	0	172.1	2144	1	791	0	0	1
28778	19044.4	18910.7	26.2	0	192.8	2208	1	465	0	0	1
30407	19076.8	18186.5	15.3	0	175.9	2328	1	584	0	0	1
30425	18975.6	18200.6	25.2	0	188.9	2329	1	523	0	0	1
30523	18975.2	18182.2	25.2	0	183.1	2335	1	419	0	0	1
31817	18927.1	18272.7	20.2	0	189.3	2432	1	710	0	0	1
31831	18949.3	18243.3	15.4	0	170.9	2433	1	653	0	0	1
32749	18860	18464.2	27.9	0	172.2	2502	1	444	0	0	1
32956	18938.5	18365.3	12.5	0	199.5	2517	1	2447	0	0	1
35860	19300	18805.9	18.4	0	185.9	2752	1	899	0	0	1
35918	19302.1	18805.6	16.3	0	177	2757	1	842	0	0	1
36107	19464.5	18389.1	29.8	0	199.3	2772	1	449	0	0	1
36556	19025.4	18536	7.9	0	159	2809	1	1405	0	0	1
38830	18908.1	18248.3	22.9	0	194.4	2988	1	464	0	0	1
41271	19066.7	18531.6	29.8	0	140.9	3194	1	274	0	0	1
42786	19062.2	18828.3	12.3	0	162.7	3327	1	855	0	0	1
42800	19048.5	18854.8	17.9	0	181.1	3328	1	699	0	0	1
42873	19036	18808.1	15.5	0	177.1	3335	1	849	0	0	1
42960	18976.8	18918.4	16.3	0	186.9	3341	1	582	0	0	1
43398	18924	18262.7	37.9	0	159.8	3377	1	203	0	0	1
44418	19528.6	18362.8	22.1	0	148.9	3461	1	245	0	0	1
44650	18832.3	18911.9	24.4	0	161.5	3479	1	226	0	0	1
47332	19144.7	18412.1	28.9	0	165.2	3717	1	247	0	0	1
47493	18955.5	18249	11.5	0	180.4	3733	1	862	0	0	1
48157	18859.3	18478.5	19.5	0	190.3	3789	1	468	0	0	1
51442	18941.9	18223.7	32.9	0	160.9	4075	1	303	0	0	1
51455	18951.2	18249.9	25.9	0	150.8	4076	1	278	0	0	1
51772	19131.6	19066.9	14.4	0	178.7	4108	1	1585	0	0	1
53056	19282	18757.2	35.6	0	118.6	4227	1	103	0	0	1
53721	18791.8	18809	22.6	0	168.4	4285	1	335	0	0	1
55875	18924.4	18275.2	14.7	0	190	4473	1	607	0	0	1
55891	18918.9	18207.1	13	0	156.8	4474	1	561	0	0	1
56635	19339	18725.1	17.2	0	150.5	4537	1	392	0	0	1
57032	18863	18255	14.4	0	175.5	4572	1	618	0	0	1
57074	18861.9	18276.5	16.7	0	172.8	4576	1	573	0	0	1
58207	18900.3	18191.3	22	0	185.8	4675	1	370	0	0	1
58982	19191.3	18507	44.3	0	145.8	4744	1	163	0	0	1
59280	18943.8	18201.9	21.7	0	168.6	4768	1	337	0	0	1
59373	18943.7	18213.1	24.1	0	173.3	4776	1	324	0	0	1
59661	18874.4	18943.1	39.6	0	143.4	4803	1	166	0	0	1
59757	19206.4	19035.7	14.9	0	183.3	4813	1	673	0	0	1
59771	19232.7	19072.2	26.4	0	172.6	4814	1	296	0	0	1
60641	19517.2	18352	24.1	0	144.1	4888	1	216	0	0	1
60647	19558.3	18341.4	23.5	0	166.8	4889	1	394	0	0	1
60845	18914.2	18198.5	23	0	160.9	4905	1	285	0	0	1
61380	18884.3	18887.8	19.4	0	134.7	4940	1	214	0	0	1
61875	18886	18809.7	20.3	0	158.3	4972	1	436	0	0	1
61886	18844.5	18831.4	23.2	0	151.7	4973	1	685	0	0	1
61989	18831.9	18870.1	28.7	0	163.2	4980	1	357	0	0	1
62153	19632.2	18703.5	15.3	0	133.8	4991	1	388	0	0	1
62195	19634.8	18676.7	14.1	0	154	4993	1	444	0	0	1
62427	19190.5	18958.7	13.5	0	174.5	5007	1	765	0	0	1
63669	18909.4	18229.6	36.4	0	133	5090	1	166	0	0	1
64044	19355.5	18720.8	18.2	0	158.1	5117	1	390	0	0	1
64058	19380	18778.2	19.8	0	155.4	5118	1	358	0	0	1
64688	19409.8	18629.3	8.7	0	179.2	5164	1	2091	0	0	1
64739	19533.2	18495.9	11.5	0	177.4	5167	1	909	0	0	1
64762	19534.6	18462.3	15.8	0	194.1	5169	1	974	0	0	1
64811	19544.8	18516.1	8.9	0	171.8	5173	1	1284	0	0	1
65504	18854.3	18876.8	11.4	0	148.6	5224	1	901	0	0	1
65671	18893.1	18850.4	10.3	0	143.7	5234	1	913	0	0	1
65762	18854.8	18876.1	10.1	0	155.7	5241	1	907	0	0	1
65820	18847.6	18890.5	11.9	0	165.5	5245	1	1282	0	0	1
65837	18825.2	18882	13.6	0	180.3	5246	1	1434	0	0	1
65854	18891.5	18903.4	11	0	181.1	5247	1	1517	0	0	1
65869	18869.6	18892.1	10.5	0	160.8	5248	1	1114	0	0	1
66564	19387.4	18906.5	25	0	141.1	5295	1	196	0	0	1
67157	19207	18478.4	17.2	0	166.2	5337	1	376	0	0	1
67239	19519	18548.4	17.1	0	198.3	5343	1	1049	0	0	1
69055	19140.2	19031.5	19.9	0	178.4	5475	1	442	0	0	1
69744	18770.9	18634.2	27.1	0	164.3	5526	1	422	0	0	1
70832	19597.7	18337.3	25.4	0	105.7	5609	1	136	0	0	1
72030	18964.5	18371	23.6	0	191	5702	1	429	0	0	1
74570	19013.5	18454	13.1	0	154.6	5903	1	571	0	0	1
75175	19277.9	18451.8	18.3	0	148.4	5950	1	384	0	0	1
75186	19302.7	18481.8	15.7	0	152.1	5951	1	363	0	0	1
75199	19321.2	18423.3	22.4	0	186.1	5952	1	469	0	0	1
75268	19287.3	18935.3	12.7	0	191.3	5958	1	1328	0	0	1
75538	19160.5	18410.1	26.3	0	185.5	5979	1	403	0	0	1
