Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
206	9599.9	8905.1	19	0	150.7	12	1	911	0	0	1
595	9393.3	8034.3	20	0	172.5	30	1	703	0	0	1
739	9459.1	8418.8	10.5	0	142.7	39	1	1059	0	0	1
2683	9522.8	8674.5	29	0	175.5	156	1	573	0	0	1
3035	9457.2	8046.3	12.7	0	176.3	177	1	938	0	0	1
3052	9495.4	8072.4	10.9	0	170.5	178	1	989	0	0	1
3063	9477.1	8050	11	0	178.5	179	1	1217	0	0	1
3243	9528.1	8698.5	19	0	156.2	192	1	658	0	0	1
3261	9520.3	8652	18.9	0	197.2	193	1	925	0	0	1
3930	9539.6	8021.6	25.4	0	167.6	235	1	494	0	0	1
4056	9511	8812.7	18.9	0	178.4	243	1	945	0	0	1
4258	9484.7	8466.1	18.9	0	150.5	257	1	747	0	0	1
4325	9477.8	8448.5	27.6	0	186.2	261	1	616	0	0	1
4687	9496.6	8050.5	18	0	166.6	285	1	530	0	0	1
4838	9499.5	8048.3	14.7	0	155.7	296	1	676	0	0	1
5195	9720.8	8371.4	29.5	0	176	321	1	507	0	0	1
5730	9425.3	8255.9	19.9	0	131.2	362	1	363	0	0	1
5742	9430.7	8221.6	11.7	0	166.8	363	1	1077	0	0	1
5821	9660.4	8732.6	14.7	0	152.3	368	1	692	0	0	1
6029	9682.1	8444.7	15.7	0	139.9	384	1	955	0	0	1
6377	9466	8068.8	29.1	0	153	409	1	368	0	0	1
6417	9439.7	8037.1	30.9	0	175.8	412	1	428	0	0	1
6439	9676.4	8789.1	42.9	0	183.3	413	1	471	0	0	1
6498	9219.3	8494.9	18.4	0	155.5	417	1	511	0	0	1
6893	9782.2	8313.8	14.1	0	139.7	444	1	577	0	0	1
6922	9758.4	8316.2	37.2	0	165.9	445	1	310	0	0	1
7518	9470.8	8083.4	21.3	0	168.3	486	1	573	0	0	1
7617	9289.8	8526.3	8.9	0	153	492	1	1167	0	0	1
7632	9323.5	8535.3	17.9	0	161	493	1	498	0	0	1
7853	9664.5	8680.5	12	0	151	508	1	919	0	0	1
7907	9498.2	8071.9	10.6	0	173.3	512	1	944	0	0	1
8112	9462.9	8698.1	14.9	0	165.5	527	1	808	0	0	1
8287	9480.1	8062.5	14.5	0	166.1	540	1	833	0	0	1
8330	9776.7	8206.6	11.7	0	175.6	543	1	1088	0	0	1
8500	9471.1	8085.7	24.3	0	158.9	555	1	456	0	0	1
8581	9293.8	8633	38.9	0	107	560	1	123	0	0	1
8741	9896.3	8364.5	18.5	0	198.8	571	1	852	0	0	1
9194	9428.2	8237.9	8.2	0	153.6	603	1	1373	0	0	1
9412	9650.2	8063.4	9.7	0	159.7	618	1	1098	0	0	1
9807	9637.1	8765.2	15.8	0	173.8	648	1	1141	0	0	1
10051	9647.9	8671.6	16	0	146.8	667	1	661	0	0	1
10963	9654.8	8423.2	17.7	0	156.7	736	1	556	0	0	1
10993	9624.2	8068.6	15	0	178	738	1	704	0	0	1
11042	9805	8325.9	7.7	0	156.3	742	1	1529	0	0	1
11065	9783.8	8310.7	17.8	0	155.9	743	1	473	0	0	1
11428	9591	8649.3	17.8	0	151.8	769	1	567	0	0	1
11442	9539.9	8682.9	32.1	0	185.1	770	1	440	0	0	1
11455	9518.8	8701.5	18.3	0	198.7	771	1	1013	0	0	1
11532	9514.2	8717.8	8.7	0	177.4	777	1	1941	0	0	1
11579	9449.2	8706.2	9.5	0	131.1	781	1	843	0	0	1
11590	9526.4	8698.8	13.8	0	170.6	782	1	1020	0	0	1
11601	9663.7	8740.9	26.1	0	146.5	783	1	450	0	0	1
11626	9137.4	8153.6	17.9	0	154.1	785	1	533	0	0	1
12083	9220.4	8488.7	15.2	0	145.1	820	1	440	0	0	1
12110	9208	8506.3	24.6	0	159.7	822	1	460	0	0	1
12120	9193.4	8490.5	12.8	0	159.4	823	1	913	0	0	1
12153	9626.9	8758.8	7.3	0	151.9	825	1	2309	0	0	1
12250	9124.7	8850.2	24.4	0	121.9	832	1	251	0	0	1
12841	9497.8	8736.3	13.4	0	192.6	878	1	1448	0	0	1
12895	9120.4	8810.3	20.5	0	141.5	881	1	427	0	0	1
13659	9828.9	8650.2	23.4	0	181.3	948	1	505	0	0	1
13918	9848.7	8668.2	11.2	0	182.4	970	1	1540	0	0	1
14333	9581.9	8902	9	0	151	1007	1	1409	0	0	1
14476	9177.3	8334.7	15.8	0	144.5	1018	1	445	0	0	1
14551	9796.6	8307.1	11.2	0	154.1	1025	1	984	0	0	1
14565	9490.9	8054.5	12.2	0	164.1	1026	1	1425	0	0	1
14707	9649.2	8745	16.7	0	155.8	1038	1	693	0	0	1
15019	9700.8	8874.2	6.5	0	145.8	1064	1	2568	0	0	1
15300	9449.5	8049.3	21.2	0	146.4	1088	1	280	0	0	1
15393	9458.1	8061.9	25.8	0	148	1096	1	383	0	0	1
15479	9474.6	8088.3	18	0	155.7	1102	1	425	0	0	1
15543	9412.2	8117.4	23.2	0	187.1	1108	1	669	0	0	1
15798	9456.6	8085.8	23.3	0	134.6	1127	1	233	0	0	1
15823	9547.6	8946.9	8	0	160.1	1129	1	2199	0	0	1
16623	9277.8	8716.1	30.5	0	120.8	1193	1	201	0	0	1
16878	9452.4	8067.4	18.2	0	140	1213	1	359	0	0	1
16887	9472.7	8061.9	12.7	0	149.1	1214	1	633	0	0	1
17580	9490.8	8047.9	17.8	0	119.7	1266	1	267	0	0	1
17622	9388.6	8046.6	23.2	0	196.9	1268	1	594	0	0	1
17665	9696.2	8650.9	26.1	0	140.5	1271	1	269	0	0	1
17705	9581.3	8686.7	8.3	0	152.2	1275	1	1739	0	0	1
17825	9463.2	8086.2	24.4	0	162.1	1285	1	290	0	0	1
17830	9464.3	8028.9	15.3	0	143.7	1286	1	520	0	0	1
18163	9202.8	8518.4	11.7	0	153	1313	1	904	0	0	1
18692	9277.4	8546.7	13.9	0	159.5	1359	1	709	0	0	1
18865	9403.7	8251.9	8.8	0	186.6	1375	1	1760	0	0	1
18875	9429.2	8286.8	8.8	0	178.7	1376	1	1523	0	0	1
18962	9706.8	8862	6	0	141.6	1384	1	2209	0	0	1
18975	9685	8875	5.4	0	147.7	1385	1	3368	0	0	1
19117	9463.6	8250	14.3	0	183.4	1398	1	1663	0	0	1
19419	9459.1	8069.3	21.1	0	128	1421	1	335	0	0	1
19437	9717.2	8880.7	11.1	0	157.3	1423	1	1107	0	0	1
19649	9394.9	8054.2	12.7	0	176.8	1441	1	978	0	0	1
19980	9696.9	8823.3	7.2	0	157.1	1468	1	2940	0	0	1
20359	9578.5	8900.6	18.7	0	173.1	1501	1	859	0	0	1
20519	9475.4	8062.4	24	0	156.1	1514	1	352	0	0	1
20695	9778.6	8748.8	48.2	0	169.2	1525	1	227	0	0	1
20723	9702.1	8576	14.1	0	194.1	1528	1	1260	0	0	1
20735	9707.6	8520.7	18.1	0	175.5	1529	1	745	0	0	1
20918	9448.2	8073.1	25.7	0	130.6	1543	1	215	0	0	1
21021	9564.7	8737.4	14.9	0	173.7	1553	1	881	0	0	1
21176	9469.4	8058	15.2	0	141.4	1565	1	537	0	0	1
21343	9357.7	8027.5	17.4	0	176.1	1579	1	742	0	0	1
21427	9638.1	8429.3	20.7	0	122.3	1586	1	222	0	0	1
21533	9311.6	8364.3	32	0	119	1595	1	171	0	0	1
21606	9476.3	8079.1	16.3	0	155.7	1602	1	541	0	0	1
21725	9456.6	8053	23.2	0	149.7	1612	1	323	0	0	1
21780	9453	8055.8	24.1	0	186.4	1616	1	455	0	0	1
21787	9525.4	8052.7	18.1	0	184.2	1617	1	630	0	0	1
21816	9532.7	8012.2	17.3	0	196.3	1618	1	711	0	0	1
21831	9404.7	8013.9	26.9	0	140.1	1619	1	241	0	0	1
21841	9408.8	8088	42.7	0	159.9	1620	1	183	0	0	1
22224	9654.9	8093.9	23.4	0	141.4	1652	1	273	0	0	1
22575	9648	8441.2	16.2	0	124.1	1682	1	280	0	0	1
22657	9717.4	8646.8	17	0	184.8	1689	1	620	0	0	1
23385	9482	8423.9	18	0	140.3	1755	1	389	0	0	1
23393	9466.3	8454.1	7.9	0	144.4	1756	1	1122	0	0	1
23403	9496.9	8479	8	0	154.5	1757	1	1673	0	0	1
23709	9600.9	8566.6	18.4	0	130.3	1780	1	341	0	0	1
23767	9684	8636.8	20	0	126.6	1784	1	318	0	0	1
24054	9470.3	8688.5	15.8	0	169.8	1808	1	564	0	0	1
25122	9547.6	7999.4	35.2	0	175.9	1896	1	303	0	0	1
