Index	X	Y	Precision	SEM	PSF	First_Frame	N_detections	Photons	Intensity	Frames_missing	Channel
62	6346.5	19346.2	18.6	0	147.5	3	1	451	0	0	1
123	6331.5	19388.9	16.2	0	163.6	7	1	782	0	0	1
137	6312.7	19703.5	14.1	0	190.9	8	1	1845	0	0	1
581	6358.4	19339.9	20.7	0	138.3	37	1	356	0	0	1
605	6316.8	19291.9	22.7	0	164.2	39	1	573	0	0	1
688	6328.3	19360	14.4	0	136.7	46	1	442	0	0	1
755	6379.4	19334.6	23.9	0	153.5	50	1	331	0	0	1
763	6358.8	19336.3	18.9	0	153	51	1	402	0	0	1
839	6340	19353.5	22.7	0	131.7	57	1	281	0	0	1
853	6303.5	19361.4	13.7	0	149.8	58	1	588	0	0	1
872	6262.9	19373.6	14	0	175.8	59	1	849	0	0	1
922	6306.9	19350.3	14.3	0	165.8	63	1	840	0	0	1
1069	6300.5	19320	18.7	0	132.5	72	1	316	0	0	1
1078	6188.1	19383.3	9.4	0	180.6	73	1	1568	0	0	1
1134	6175.4	19419.2	7.4	0	173.7	76	1	2272	0	0	1
1149	6273.1	19387.7	10.2	0	175.5	77	1	1328	0	0	1
1187	6240.8	19379.6	18.3	0	189.4	79	1	1052	0	0	1
1216	6322.1	19343	17.9	0	160.8	81	1	453	0	0	1
1233	6241.7	19325.6	25.1	0	197.7	82	1	855	0	0	1
1280	6314.5	19323.8	21.5	0	133.1	85	1	379	0	0	1
1303	6276.1	19335.9	21.5	0	156.2	87	1	497	0	0	1
1338	6270.6	19378.2	13.3	0	186.9	91	1	1002	0	0	1
1419	6323.9	19304.8	13	0	151.5	96	1	560	0	0	1
1435	6305.5	19278.1	25.2	0	153	97	1	520	0	0	1
1535	6298.9	19275.8	14.4	0	184.5	104	1	944	0	0	1
1588	6323.5	19265.1	17.6	0	192.4	107	1	1119	0	0	1
1602	6279.2	19282.3	14.9	0	194.1	108	1	1240	0	0	1
1745	6305.9	19298.8	15.6	0	164.3	117	1	685	0	0	1
1840	6339.4	19260.8	17.3	0	170.2	123	1	660	0	0	1
1904	6311.4	19343.6	17.5	0	171.4	127	1	846	0	0	1
2055	6307.7	19323.1	21.8	0	138.4	137	1	366	0	0	1
2225	6313.2	19339.1	15.1	0	145.2	148	1	421	0	0	1
2250	6334.1	19359.2	14	0	138.2	150	1	423	0	0	1
2391	6321.4	19418.1	15.1	0	170.7	159	1	747	0	0	1
2410	6326.8	19445	12.9	0	160.9	160	1	602	0	0	1
2466	6350.3	19382.9	45.3	0	176.3	164	1	532	0	0	1
2494	6345.3	19338.5	27.2	0	129.1	166	1	377	0	0	1
2569	6336.8	19345.3	27	0	146.8	170	1	397	0	0	1
2619	6358.4	19350.4	25.7	0	160.2	173	1	460	0	0	1
2637	6338.5	19383.5	20.9	0	151	174	1	374	0	0	1
2680	6351.6	19315.9	20.3	0	156.2	177	1	409	0	0	1
2731	6331.7	19393.8	18.8	0	169.4	181	1	489	0	0	1
2775	6358.4	19344.1	19.7	0	139.6	184	1	306	0	0	1
2789	6330.2	19343.2	16.9	0	148.5	185	1	438	0	0	1
2810	6354	19300.6	18.9	0	156.9	186	1	506	0	0	1
2992	6315.2	19319.5	16.6	0	134.3	200	1	366	0	0	1
3063	6370	19346.4	19.8	0	133.9	204	1	324	0	0	1
3125	6362.8	19321.7	24.1	0	133.6	209	1	234	0	0	1
3275	6333.4	19294.6	18.8	0	144.7	220	1	393	0	0	1
3428	6351	19373.2	13.6	0	197.3	231	1	914	0	0	1
3460	6350.4	19323.7	14	0	137.3	233	1	404	0	0	1
3482	6324.9	19315.3	23	0	168.2	234	1	457	0	0	1
3509	6337.8	19257.3	22	0	170.3	236	1	572	0	0	1
3566	6327.4	19347.8	15.6	0	133.9	240	1	379	0	0	1
3618	6325.6	19339.6	16.9	0	131.9	244	1	329	0	0	1
3638	6329.4	19362.5	17.2	0	135	245	1	332	0	0	1
3651	6295.3	19314.9	24.6	0	163.8	246	1	457	0	0	1
3798	6348.8	19332.7	15.3	0	146.1	258	1	443	0	0	1
3897	6317.6	19311.5	22.3	0	155.9	266	1	374	0	0	1
3936	6355	19318.7	26.6	0	140.9	268	1	411	0	0	1
4142	6488.2	19746	4.4	0	149.2	287	1	4606	0	0	1
4170	6331.4	19363.8	16.5	0	154.8	289	1	410	0	0	1
4327	6358.4	19323.3	17	0	139.4	301	1	374	0	0	1
4398	6335.4	19368.5	18.4	0	145.8	306	1	451	0	0	1
4413	6319	19449.5	20.6	0	199.5	307	1	818	0	0	1
4463	6303.9	19270.9	38.4	0	175.2	311	1	510	0	0	1
4639	6262.5	19334.4	16	0	185.2	324	1	712	0	0	1
4714	6341.6	19352	16.3	0	138.5	329	1	446	0	0	1
4765	6313.8	19287.7	18.1	0	154.7	331	1	526	0	0	1
4795	6321.5	19340.1	16	0	139.4	333	1	434	0	0	1
4842	6326.4	19298.5	27.2	0	176.4	336	1	443	0	0	1
4868	6388	19330.6	25.5	0	188.5	338	1	661	0	0	1
